5.000000000000000000e+00,5.000000000000000000e+00,9.126169897547146970e-02
5.000000000000000000e+00,1.000000000000000000e+01,8.932807290501429409e-02
5.000000000000000000e+00,1.500000000000000000e+01,9.183197596024264553e-02
5.000000000000000000e+00,2.000000000000000000e+01,9.008843586122733393e-02
5.000000000000000000e+00,2.500000000000000000e+01,8.879593762129718570e-02
5.000000000000000000e+00,3.000000000000000000e+01,8.825730548309493328e-02
5.000000000000000000e+00,3.500000000000000000e+01,8.782954009781722415e-02
5.000000000000000000e+00,4.000000000000000000e+01,8.765933195871832007e-02
5.000000000000000000e+00,4.500000000000000000e+01,8.713952087620348286e-02
5.000000000000000000e+00,5.000000000000000000e+01,8.991488681258491544e-02
5.000000000000000000e+00,5.500000000000000000e+01,8.636210578044153929e-02
5.000000000000000000e+00,6.000000000000000000e+01,8.795624742236422822e-02
5.000000000000000000e+00,6.500000000000000000e+01,8.457800824006370122e-02
5.000000000000000000e+00,7.000000000000000000e+01,8.761121453057796327e-02
5.000000000000000000e+00,7.500000000000000000e+01,8.787343643012791861e-02
5.000000000000000000e+00,8.000000000000000000e+01,8.813100953937975934e-02
5.000000000000000000e+00,8.500000000000000000e+01,8.696346454636449952e-02
5.000000000000000000e+00,9.000000000000000000e+01,8.696346454636449952e-02
5.000000000000000000e+00,9.500000000000000000e+01,8.661846318811360079e-02
5.000000000000000000e+00,1.000000000000000000e+02,8.618606469013846694e-02
5.000000000000000000e+00,1.050000000000000000e+02,8.574446386887413230e-02
5.000000000000000000e+00,1.100000000000000000e+02,8.565701953685249392e-02
5.000000000000000000e+00,1.150000000000000000e+02,8.565701974932872498e-02
5.000000000000000000e+00,1.200000000000000000e+02,8.565701975077009978e-02
5.000000000000000000e+00,1.250000000000000000e+02,8.556497404247533078e-02
1.000000000000000000e+01,5.000000000000000000e+00,8.557430291993008142e-02
1.000000000000000000e+01,1.000000000000000000e+01,8.591928861658483518e-02
1.000000000000000000e+01,1.500000000000000000e+01,8.592395305567254726e-02
