18.0,-3.2,6.3,19.8,17.1,18.0,19.8,6.3,9.9,3.5,-4.1,9.9
9.0,-7.0,-29.4,-27.3,-20.3,-42.7,-12.6,-23.1,-15.4,-13.3,-5.6,7.2
8.1,-6.3,-6.3,-20.3,-49.7,748.0,-43.4,-17.5,-17.5,-6.3,-6.3,8.1
9.0,-7.0,-14.0,-10.5,-25.9,-35.7,-21.7,-15.4,-10.5,-11.9,-5.6,7.2
9.0,-10.5,-10.5,-11.9,-18.9,-20.3,-13.3,-10.5,-7.0,-4.2,-10.5,8.1
4.5,-7.0,-2.8,-12.6,-12.6,-11.9,-11.2,-6.3,-8.4,-7.0,-4.9,5.4
9.0,-2.8,-5.6,-11.2,-8.4,-11.9,-8.4,-7.0,-5.6,-4.9,-2.1,6.3
3.6,-5.6,-7.0,-8.4,-7.7,-4.2,-8.4,-7.0,-5.6,-4.2,-4.9,2.7
2.7,-6.3,-8.4,-4.2,-7.7,-4.2,-8.4,-4.2,-7.0,-2.1,-3.5,6.3
4.5,-7.0,-4.2,-8.4,-3.5,-4.2,-4.2,-8.4,-2.8,-4.2,-2.1,4.5
3.6,-8.4,-4.2,-4.2,-3.5,-4.2,-4.2,-4.2,-4.2,-7.0,-1.4,0.9
5.4,5.4,5.4,5.4,4.5,5.4,5.4,5.4,5.4,3.6,5.4,1.8
