18.9,4.5,9.0,9.0,8.1,9.0,9.0,9.0,4.5,9.0,3.6,2.7,4.5,2.7,2.7,1.3,1.1,0.2,-2.6,4.5
4.5,-14.7,-3.5,-14.0,-6.3,-7.0,-7.0,-10.5,-7.0,-2.8,-5.6,-5.6,-4.2,-5.6,-4.2,-4.9,-4.2,-3.5,-2.8,3.6
9.0,-3.5,-14.7,-10.5,-13.3,-7.0,-14.0,-10.5,-2.8,-5.6,-4.2,-5.6,-4.9,-4.9,-7.0,-2.8,-2.8,-5.6,-2.8,3.6
9.0,-14.0,-10.5,-21.7,-14.0,-20.3,-10.5,-11.9,-9.8,-9.1,-8.4,-7.7,-6.3,-5.6,-2.8,-2.8,-5.6,-2.8,-2.8,3.6
9.0,-7.0,-14.0,-14.0,-35.7,-34.3,-23.1,-18.9,-14.0,-11.9,-8.4,-5.6,-5.6,-4.9,-4.9,-4.9,-2.1,-2.1,-2.1,2.7
8.1,-6.3,-6.3,-20.3,-34.3,748.0,-39.2,-18.9,-13.3,-7.7,-7.7,-7.7,-7.7,-2.8,-2.8,-2.8,-2.8,-2.8,-2.8,3.6
9.0,-7.0,-14.0,-10.5,-23.1,-39.9,-22.4,-14.7,-11.9,-10.5,-8.4,-5.6,-5.6,-5.6,-5.6,-5.6,-2.8,-2.8,-2.8,3.6
9.0,-10.5,-10.5,-11.9,-19.6,-18.2,-15.4,-11.2,-9.1,-6.3,-6.3,-4.9,-4.9,-5.6,-2.8,-2.8,-5.6,-2.8,-2.8,3.6
4.5,-7.0,-2.8,-9.8,-15.4,-11.2,-13.3,-7.7,-5.6,-7.0,-4.2,-6.3,-4.2,-4.2,-4.9,-2.8,-2.8,-5.6,-2.8,3.6
9.0,-2.8,-5.6,-12.6,-7.0,-11.2,-7.7,-8.4,-4.9,-5.6,-4.9,-3.5,-4.2,-2.1,-4.2,-4.2,-2.1,-2.1,-2.8,3.6
3.6,-5.6,-4.2,-8.4,-7.0,-11.2,-7.7,-5.6,-5.6,-4.9,-2.8,-4.2,-2.8,-4.2,-2.1,-2.1,-4.2,-2.1,-2.1,2.7
2.7,-6.3,-5.6,-7.7,-7.0,-4.2,-7.0,-6.3,-3.5,-5.6,-4.9,-2.1,-2.8,-2.8,-3.5,-4.2,-2.1,-2.1,-4.2,2.7
4.5,-4.2,-8.4,-3.5,-7.0,-4.2,-7.0,-4.2,-5.6,-2.8,-2.8,-4.9,-2.1,-2.8,-3.5,-1.4,-2.1,-2.1,-2.1,2.7
3.6,-5.6,-4.2,-7.0,-3.5,-4.2,-3.5,-7.7,-2.1,-3.5,-2.8,-4.9,-2.8,-2.1,-0.7,-3.5,-2.8,-2.1,-2.1,2.7
1.8,-8.4,-3.5,-3.5,-3.5,-4.2,-3.5,-3.5,-4.2,-5.6,-2.8,-2.8,-2.1,-2.8,-2.1,-0.7,-2.1,-2.8,-1.4,2.7
5.4,5.4,4.5,4.5,4.5,5.4,4.5,4.5,5.4,2.7,4.5,3.6,3.6,2.7,3.6,2.7,0.9,2.7,1.8,1.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
